AssetInt Job Statistics Export File
Job Start Time,Job End Time,Job Name,Current User,Additional Data,Total Pieces,Good Pieces,Reject Pieces,Bad Piece Rate,Total Time,Scheduled Downtime,Unscheduled Downtime,Uptime,Good Production Time,Nominal Production Time,Nominal Production Time Rate,Scheduled Downtime Rate,Unscheduled Downtime Rate,Production Rate,Shift Name
2026-02-09 16:59:37,2026-02-09 21:24:05,23289.xml,,,7044,7044,0,0.00,04:24:21,00:00:00,02:12:58,02:11:23,00:00:00,00:00:00,0,0.00,0.50,1598.79,0.00
2026-02-09 14:03:50,2026-02-09 16:59:37,46232.xml,,,4071,4071,0,0.00,02:55:42,00:00:00,02:09:46,00:45:56,00:00:00,00:00:00,0,0.00,0.74,1390.21,0.00
2026-02-09 14:02:00,2026-02-09 14:03:50,46233.xml,,,0,0,0,0.00,00:01:50,00:00:00,00:01:50,00:00:00,00:00:00,00:00:00,0,0.00,1.00,0.00,0.00
2026-02-09 12:32:21,2026-02-09 14:02:00,46232.xml,,,0,0,0,0.00,01:29:35,00:00:00,01:29:35,00:00:00,00:00:00,00:00:00,0,0.00,1.00,0.00,0.00
2026-02-09 08:22:11,2026-02-09 12:32:22,44186.xml,,,8247,8247,0,0.00,04:10:05,00:00:00,03:02:32,01:07:33,00:00:00,00:00:00,0,0.00,0.73,1978.62,0.00
2026-02-09 06:22:26,2026-02-09 08:22:11,42834.xml,,,4682,4682,0,0.00,01:59:42,00:00:00,00:53:26,01:06:16,00:00:00,00:00:00,0,0.00,0.45,2346.87,0.00
2026-02-06 13:29:00,2026-02-06 15:46:09,21679.xml,,,11650,11650,0,0.00,02:17:05,00:00:00,00:51:27,01:25:38,00:00:00,00:00:00,0,0.00,0.38,5099.09,0.00
2026-02-06 08:13:22,2026-02-06 12:54:12,28371.xml,,,123,123,0,0.00,04:40:43,00:00:00,01:49:45,02:50:58,00:00:00,00:00:00,0,0.00,0.39,26.29,0.00
